Mjesto,Ulica,Adresa ključ,Preostalo CIJEPANO m3,Isporučeno CIJEPANO m3,Preostalo U DUGOM m3,Isporučeno U DUGOM m3,Preostalo RVI m3,Isporučeno RVI m3,Preostalo PORODICE ŠEHIDA m3,Isporučeno PORODICE ŠEHIDA m3,Preostalo SINDIKAT m3,Isporučeno SINDIKAT m3,Preostalo ukupno m3,Adresa za kartu,Lat,Lng
Bosanska Otoka,(bez ulice),Bosanska Otoka|(BEZ ULICE),0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,"Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Otoka,Donja Ljusina,Bosanska Otoka|DONJA LJUSINA,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,"Donja Ljusina, Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Krupa,Reisa Džemaludina Čauševića,Bosanska Krupa|REISA DZEMALUDINA CAUSEVICA,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,"Reisa Džemaludina Čauševića, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,"Ul Pat,lige",Bosanska Krupa|PAT LIGE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,"Ul Pat,lige, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Vel Badić,Bosanska Krupa|VEL BADIC,7.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,"Vel Badić, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Tarla,Bosanska Krupa|TARLA,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,"Tarla, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Badićka,Bosanska Krupa|BADICKA,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,"Badićka, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Jezersk-itrnovac Kod Hafizović(abid)amir,Bosanska Krupa|JEZERSK ITRNOVAC KOD HAFIZOVIC ABID AMIR,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,"Jezersk-itrnovac Kod Hafizović(abid)amir, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,I Bkb,Bosanska Krupa|I BKB,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,"I Bkb, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Lipik,Bosanska Krupa|LIPIK,0.0,28.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,"Lipik, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Ulica Terzić,Bosanska Krupa|TERZIC,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,"Ulica Terzić, Bosanska Krupa, Bosna i Hercegovina",,
Zalug,101 Muslimanska,Zalug|101 MUSLIMANSKA,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,"101 Muslimanska, Zalug, Bosna i Hercegovina",,
Ljusina,Ljusina,Ljusina|LJUSINA,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,"Ljusina, Ljusina, Bosna i Hercegovina",,
Bosanska Krupa,Kolodvorska,Bosanska Krupa|KOLODVORSKA,0.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,"Kolodvorska, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Otoka,Proleterska,Bosanska Otoka|PROLETERSKA,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,"Proleterska, Bosanska Otoka, Bosna i Hercegovina",,
Bužim,Branilaca Grada,Bužim|BRANILACA GRADA,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,"Branilaca Grada, Bužim, Bosna i Hercegovina",,
Bužim,Čava,Bužim|CAVA,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,"Čava, Bužim, Bosna i Hercegovina",,
Bosanska Krupa,Mašići,Bosanska Krupa|MASICI,3.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,"Mašići, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Mirsada Crnkića L6/29,Bosanska Krupa|MIRSADA CRNKICA L6,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,3.5,"Mirsada Crnkića L6/29, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,5 Korpus,Bosanska Krupa|5 KORPUSA,3.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,"5 Korpus, Bosanska Krupa, Bosna i Hercegovina",,
